Cidade;Campus;Ano;Mês;Quantidade em m³;;;;;;;;;;;;;
Ituiutaba;Pontal;2023;Janeiro;448;;;;;;;;;;;;;413
Ituiutaba;Pontal;2023;Fevereiro;488;;;;;;;;;;;;;488
Ituiutaba;Pontal;2023;Março;947;;;;;;;;;;;;;904
Ituiutaba;Pontal;2023;Abril;894;;;;;;;;;;;;;869
Ituiutaba;Pontal;2023;Maio;861;;;;;;;;;;;;;715
Ituiutaba;Pontal;2023;Junho;1207;;;;;;;;;;;;;1167
Ituiutaba;Pontal;2023;Julho;1145;;;;;;;;;;;;;1077
Ituiutaba;Pontal;2023;Agosto;1033;;;;;;;;;;;;;947
Ituiutaba;Pontal;2023;Setembro;691;;;;;;;;;;;;;643
Ituiutaba;Pontal;2023;Outubro;680;;;;;;;;;;;;;638
Ituiutaba;Pontal;2023;Novembro;629;;;;;;;;;;;;;557
Ituiutaba;Pontal;2023;Dezembro;633;;;;;;;;;;;;;498
Monte Carmelo;Araras;2023;Janeiro;439;;;;;;;;;;;;;
Monte Carmelo;Araras;2023;Fevereiro;363;;;;;;;;;;;;;
Monte Carmelo;Araras;2023;Março;398;;;;;;;;;;;;;
Monte Carmelo;Araras;2023;Abril;336;;;;;;;;;;;;;
Monte Carmelo;Araras;2023;Maio;503;;;;;;;;;;;;;
Monte Carmelo;Araras;2023;Junho;494;;;;;;;;;;;;;
Monte Carmelo;Araras;2023;Julho;674;;;;;;;;;;;;;
Monte Carmelo;Araras;2023;Agosto;727;;;;;;;;;;;;;
Monte Carmelo;Araras;2023;Setembro;783;;;;;;;;;;;;;
Monte Carmelo;Araras;2023;Outubro;828;;;;;;;;;;;;;
Monte Carmelo;Araras;2023;Novembro;788;;;;;;;;;;;;;
Monte Carmelo;Araras;2023;Dezembro;736;;;;;;;;;;;;;
Monte Carmelo;Boa Vista;2023;Janeiro;22;;;;;;;;;;;;;
Monte Carmelo;Boa Vista;2023;Fevereiro;14;;;;;;;;;;;;;
Monte Carmelo;Boa Vista;2023;Março;23;;;;;;;;;;;;;
Monte Carmelo;Boa Vista;2023;Abril;14;;;;;;;;;;;;;
Monte Carmelo;Boa Vista;2023;Maio;23;;;;;;;;;;;;;
Monte Carmelo;Boa Vista;2023;Junho;17;;;;;;;;;;;;;
Monte Carmelo;Boa Vista;2023;Julho;20;;;;;;;;;;;;;
Monte Carmelo;Boa Vista;2023;Agosto;15;;;;;;;;;;;;;
Monte Carmelo;Boa Vista;2023;Setembro;13;;;;;;;;;;;;;
Monte Carmelo;Boa Vista;2023;Outubro;18;;;;;;;;;;;;;
Monte Carmelo;Boa Vista;2023;Novembro;17;;;;;;;;;;;;;
Monte Carmelo;Boa Vista;2023;Dezembro;16;;;;;;;;;;;;;
Uberlândia;Educaço Física;2023;Janeiro;993;;;;;;;;;;;;;
Uberlândia;Educaço Física;2023;Fevereiro;1423;;;;;;;;;;;;;
Uberlândia;Educaço Física;2023;Março;458;;;;;;;;;;;;;
Uberlândia;Educaço Física;2023;Abril;827;;;;;;;;;;;;;
Uberlândia;Educaço Física;2023;Maio;1650;;;;;;;;;;;;;
Uberlândia;Educaço Física;2023;Junho;864;;;;;;;;;;;;;
Uberlândia;Educaço Física;2023;Julho;1923;;;;;;;;;;;;;
Uberlândia;Educaço Física;2023;Agosto;2068;;;;;;;;;;;;;
Uberlândia;Educaço Física;2023;Setembro;2073;;;;;;;;;;;;;
Uberlândia;Educaço Física;2023;Outubro;1553;;;;;;;;;;;;;
Uberlândia;Educaço Física;2023;Novembro;1781;;;;;;;;;;;;;
Uberlândia;Educaço Física;2023;Dezembro;1390;;;;;;;;;;;;;
Uberlândia;Glória;2023;Janeiro;977;;;;;;;;;;;;;
Uberlândia;Glória;2023;Fevereiro;1377;;;;;;;;;;;;;
Uberlândia;Glória;2023;Março;1286;;;;;;;;;;;;;
Uberlândia;Glória;2023;Abril;1286;;;;;;;;;;;;;
Uberlândia;Glória;2023;Maio;2669;;;;;;;;;;;;;
Uberlândia;Glória;2023;Junho;1389;;;;;;;;;;;;;
Uberlândia;Glória;2023;Julho;1602;;;;;;;;;;;;;
Uberlândia;Glória;2023;Agosto;2256;;;;;;;;;;;;;
Uberlândia;Glória;2023;Setembro;2501;;;;;;;;;;;;;
Uberlândia;Glória;2023;Outubro;2754;;;;;;;;;;;;;
Uberlândia;Glória;2023;Novembro;2515;;;;;;;;;;;;;
Uberlândia;Glória;2023;Dezembro;2221;;;;;;;;;;;;;
Uberlândia;Santa Mônica;2023;Janeiro;5751;;;;;;;;;;;;;
Uberlândia;Santa Mônica;2023;Fevereiro;5749;;;;;;;;;;;;;
Uberlândia;Santa Mônica;2023;Março;7536;;;;;;;;;;;;;
Uberlândia;Santa Mônica;2023;Abril;7615;;;;;;;;;;;;;
Uberlândia;Santa Mônica;2023;Maio;8379;;;;;;;;;;;;;
Uberlândia;Santa Mônica;2023;Junho;7549;;;;;;;;;;;;;
Uberlândia;Santa Mônica;2023;Julho;8579;;;;;;;;;;;;;
Uberlândia;Santa Mônica;2023;Agosto;7775;;;;;;;;;;;;;
Uberlândia;Santa Mônica;2023;Setembro;8888;;;;;;;;;;;;;
Uberlândia;Santa Mônica;2023;Outubro;8195;;;;;;;;;;;;;
Uberlândia;Santa Mônica;2023;Novembro;7631;;;;;;;;;;;;;
Uberlândia;Santa Mônica;2023;Dezembro;8815;;;;;;;;;;;;;
Uberlândia;Umuarama;2023;Janeiro;5554;;;;;;;;;;;;;
Uberlândia;Umuarama;2023;Fevereiro;4892;;;;;;;;;;;;;
Uberlândia;Umuarama;2023;Março;4805;;;;;;;;;;;;;
Uberlândia;Umuarama;2023;Abril;4432;;;;;;;;;;;;;
Uberlândia;Umuarama;2023;Maio;4763;;;;;;;;;;;;;
Uberlândia;Umuarama;2023;Junho;4908;;;;;;;;;;;;;
Uberlândia;Umuarama;2023;Julho;5303;;;;;;;;;;;;;
Uberlândia;Umuarama;2023;Agosto;4962;;;;;;;;;;;;;
Uberlândia;Umuarama;2023;Setembro;5044;;;;;;;;;;;;;
Uberlândia;Umuarama;2023;Outubro;5322;;;;;;;;;;;;;
Uberlândia;Umuarama;2023;Novembro;6172;;;;;;;;;;;;;
Uberlândia;Umuarama;2023;Dezembro;7324;;;;;;;;;;;;;
